density,configuration,seed,accident_trigger_s,accident_detection_s,em_generation_s,ev_receipt_s,ev_departure_s,ev_arrival_s,stored_travel_time_s,stored_response_time_s,calculated_travel_time_s,calculated_response_time_s,status
medium,FogCloudAStar,3,60.0,65.5,65.5,65.5196,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,30,60.0,65.5,65.5,65.5245,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,4,60.0,65.5,65.5,65.5194,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,5,60.0,65.5,65.5,65.5212,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,6,60.0,66.0,66.0,66.0204,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,7,60.0,66.0,66.0,66.0331,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,8,60.0,66.0,66.0,66.0255,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,9,60.0,66.0,66.0,66.0502,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,MistAStar,1,60.0,65.5,65.5,65.5153,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,10,60.0,65.5,65.5,65.524,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,11,60.0,66.0,66.0,66.0256,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,12,60.0,65.5,65.5,65.5204,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,13,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistAStar,14,60.0,66.0,66.0,66.0317,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,15,60.0,66.0,66.0,66.0313,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,16,60.0,66.0,66.0,66.0171,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistAStar,17,60.0,65.5,65.5,65.5203,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,18,60.0,66.0,66.0,66.0265,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,19,60.0,66.0,66.0,66.0291,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,2,60.0,65.5,65.5,65.5139,66.5,208.0,141.5,142.5,141.5,142.5,PASS
high,MistAStar,20,60.0,66.0,66.0,66.0268,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistAStar,22,60.0,66.5,66.5,66.5196,67.5,218.0,150.5,151.5,150.5,151.5,PASS
high,MistAStar,23,60.0,65.5,65.5,65.5159,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,24,60.0,66.0,66.0,66.0299,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,25,60.0,65.5,65.5,65.5169,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,26,60.0,66.0,66.0,66.0241,67.0,214.5,147.5,148.5,147.5,148.5,PASS
high,MistAStar,27,60.0,66.0,66.0,66.0248,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,28,60.0,66.0,66.0,66.0185,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,29,60.0,66.0,66.0,66.0243,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,3,60.0,65.5,65.5,65.5177,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,30,60.0,66.0,66.0,66.0301,67.0,213.0,146.0,147.0,146.0,147.0,PASS
high,MistAStar,4,60.0,65.5,65.5,65.519,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,5,60.0,66.0,66.0,66.0247,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,6,60.0,66.0,66.0,66.0344,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistAStar,7,60.0,66.0,66.0,66.0264,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,8,60.0,65.5,65.5,65.5153,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,9,60.0,66.0,66.0,66.0395,67.0,213.5,146.5,147.5,146.5,147.5,PASS
low,MistAStar,1,60.0,66.0,66.0,66.0364,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,10,60.0,65.5,65.5,65.5234,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,11,60.0,66.0,66.0,66.0227,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,12,60.0,65.5,65.5,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,MistAStar,13,60.0,66.0,66.0,66.0417,67.0,209.5,142.5,143.5,142.5,143.5,PASS
low,MistAStar,14,60.0,66.0,66.0,66.029,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,15,60.0,66.0,66.0,66.0266,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,16,60.0,66.0,66.0,66.0258,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,17,60.0,66.0,66.0,66.036,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,18,60.0,65.5,65.5,65.5312,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,19,60.0,66.0,66.0,66.039,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,2,60.0,66.0,66.0,66.0243,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,20,60.0,65.5,65.5,65.525,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,21,60.0,66.0,66.0,66.0396,67.0,209.5,142.5,143.5,142.5,143.5,PASS
low,MistAStar,22,60.0,66.0,66.0,66.0415,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,23,60.0,65.5,65.5,65.5308,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,24,60.0,66.0,66.0,66.027,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,25,60.0,65.5,65.5,65.5156,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,26,60.0,65.5,65.5,65.5286,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,27,60.0,67.5,67.5,67.5315,68.5,208.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,28,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,MistAStar,29,60.0,66.0,66.0,66.0227,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,3,60.0,66.0,66.0,66.0331,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,30,60.0,66.0,66.0,66.0255,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,4,60.0,66.0,66.0,66.0522,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,5,60.0,65.5,65.5,65.5253,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistAStar,6,60.0,66.0,66.0,66.0417,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,7,60.0,66.0,66.0,66.0287,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,8,60.0,66.0,66.0,66.0349,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistAStar,9,60.0,66.0,66.0,66.0238,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,1,60.0,67.0,67.0,67.0361,68.0,208.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,10,60.0,65.5,65.5,65.515,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,11,60.0,66.0,66.0,66.0218,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,12,60.0,65.5,65.5,65.529,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,13,60.0,67.5,67.5,67.5245,68.5,208.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,14,60.0,66.0,66.0,66.0212,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,15,60.0,66.0,66.0,66.026,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,16,60.0,65.5,65.5,65.5138,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,17,60.0,68.0,68.0,68.0193,69.0,209.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,18,60.0,66.0,66.0,66.0287,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,19,60.0,66.0,66.0,66.0411,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistAStar,2,60.0,67.5,67.5,67.5214,68.5,208.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,20,60.0,65.5,65.5,65.5192,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
medium,MistAStar,22,60.0,65.5,65.5,65.5165,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,23,60.0,66.0,66.0,66.0196,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistAStar,24,60.0,66.0,66.0,66.0334,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,25,60.0,65.5,65.5,65.5223,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,26,60.0,66.0,66.0,66.0247,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,27,60.0,66.0,66.0,66.0203,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,28,60.0,66.0,66.0,66.0343,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,29,60.0,66.0,66.0,66.0231,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,3,60.0,65.5,65.5,65.5196,66.5,206.5,140.0,141.0,140.0,141.0,PASS
